Muni;Mun1;CodigoMunicipio;CodMun ;Mun2
LA ARGENTINA;La Argentina;41378;41378;La Argentina
LA PLATA;La Plata;41396;41396;La Plata
NÁTAGA;Nátaga;41483;41483;Nátaga
OPORAPA;Oporapa;41503;41503;Oporapa
PAICOL;Paicol;41518;41518;Paicol
PALERMO;Palermo;41524;41524;Palermo
PALESTINA;Palestina;41530;41530;Palestina
PITAL;Pital;41548;41548;Pital
PITALITO;Pitalito;41551;41551;Pitalito
RIVERA;Rivera;41615;41615;Rivera
SALADOBLANCO;Saladoblanco;41660;41660;Saladoblanco
SAN AGUSTÍN;San Agustín;41668;41668;San Agustín
SANTA MARÍA;Santa María;41676;41676;Santa María
SUAZA;Suaza;41770;41770;Suaza
TARQUI;Tarqui;41791;41791;Tarqui
TESALIA;Tesalia;41797;41797;Tesalia
TELLO;Tello;41799;41799;Tello
TERUEL;Teruel;41801;41801;Teruel
TIMANÁ;Timaná;41807;41807;Timaná
VILLAVIEJA;Villavieja;41872;41872;Villavieja
YAGUARÁ;Yaguará;41885;41885;Yaguará
RIOHACHA;Riohacha;44001;44001;Riohacha
ALBANIA;Albania;44035;44035;Albania
BARRANCAS;Barrancas;44078;44078;Barrancas
DIBULLA;Dibulla;44090;44090;Dibulla
DISTRACCIÓN;Distracción;44098;44098;Distracción
EL MOLINO;El Molino;44110;44110;El Molino
FONSECA;Fonseca;44279;44279;Fonseca
HATONUEVO;Hatonuevo;44378;44378;Hatonuevo
LA JAGUA DEL PILAR;La Jagua Del Pilar;44420;44420;La Jagua Del Pilar
MAICAO;Maicao;44430;44430;Maicao
MANAURE;Manaure;44560;44560;Manaure
SAN JUAN DEL CESAR;San Juan Del Cesar;44650;44650;San Juan Del Cesar
URIBIA;Uribia;44847;44847;Uribia
URUMITA;Urumita;44855;44855;Urumita
VILLANUEVA;Villanueva;44874;44874;Villanueva
SANTA MARTA;Santa Marta;47001;47001;Santa Marta
ALGARROBO;Algarrobo;47030;47030;Algarrobo
ARACATACA;Aracataca;47053;47053;Aracataca
ARIGUANÍ;Ariguaní;47058;47058;Ariguaní
CERRO SAN ANTONIO;Cerro San Antonio;47161;47161;Cerro San Antonio
CHIVOLO;Chivolo;47170;47170;Chivolo
CIÉNAGA;Ciénaga;47189;47189;Ciénaga
CONCORDIA;Concordia;47205;47205;Concordia
EL BANCO;El Banco;47245;47245;El Banco
EL PIÑON;El Piñon;47258;47258;El Piñon
EL RETÉN;El Retén;47268;47268;El Retén
FUNDACIÓN;Fundación;47288;47288;Fundación
GUAMAL;Guamal;47318;47318;Guamal
NUEVA GRANADA;Nueva Granada;47460;47460;Nueva Granada
PEDRAZA;Pedraza;47541;47541;Pedraza
PIJIÑO DEL CARMEN;Pijiño Del Carmen;47545;47545;Pijiño Del Carmen
PIVIJAY;Pivijay;47551;47551;Pivijay
PLATO;Plato;47555;47555;Plato
PUEBLOVIEJO;Puebloviejo;47570;47570;Puebloviejo
REMOLINO;Remolino;47605;47605;Remolino
SABANAS DE SAN ANGEL;Sabanas De San Angel;47660;47660;Sabanas De San Angel
SALAMINA;Salamina;47675;47675;Salamina
